Days since 500th case,Canada,China,France,Germany,Italy,Japan,South Korea,Spain,United Kingdom,United States
0,597,606,613,534,650,514,602,589,590,554
1,725,885,949,684,888,568,833,"1,235",798,754
2,873,"2,033","1,126",847,"1,128",620,977,"1,639","1,140","1,039"
3,"1,081","2,809","1,412","1,112","1,689",675,"1,261","2,140","1,391","1,312"
4,"1,371","4,585","1,784","1,139","2,036",737,"1,766","3,004","1,543","1,663"
5,"1,474","6,057","2,281","1,296","2,263",780,"2,337","4,231","1,950","2,174"
6,"2,091","7,801","2,876","1,567","3,089",814,"3,150","5,753","2,630","2,951"
7,"2,792","14,451","3,661","2,369","3,858",824,"3,736","7,753","3,277","3,774"
8,"3,409","17,302","4,499","3,062","4,636",829,"4,212","9,191","3,983","4,661"
9,"4,043","20,028","5,423","3,795","5,884",873,"4,812","11,178","5,018","6,427"
10,"4,757","24,384","6,633","4,838","7,375",950,"5,328","13,716","5,683","9,415"
11,"5,655","28,083","7,730","6,012","9,172","1,007","5,766","17,147","6,650","14,250"
12,"6,320","31,203","9,134","7,156","10,149","1,046","6,284","19,980","8,077","19,624"
13,"7,448","34,609","10,995","8,198","12,462","1,089","6,767","24,926","9,529","26,747"
14,"8,591","37,097","12,612","14,138","15,113","1,128","7,134","28,572","11,658","35,206"
15,"9,731","40,046","14,459","18,323","17,660","1,193","7,382","33,089","14,543","46,442"
16,"11,285","42,651","16,018","21,463","21,157","1,268","7,513","47,610","17,089","55,231"
17,"12,537","44,682","19,856","24,774","24,747","1,364","7,755","56,188","19,522","69,194"
18,"14,018","59,822","22,302","29,212","27,980","1,499","7,869","64,059","22,141","85,996"
19,"15,512","63,862","25,233","31,554","31,506","1,693","7,979","72,248","25,150","104,686"
20,"16,667","66,496","29,155","36,508","35,713","1,866","8,086","78,797","29,474","124,686"
21,"17,897","68,440","32,964","42,288","41,035","1,953","8,162","85,195","33,718","143,025"
22,"19,291","70,955","37,575","48,582","47,021","1,953","8,236","94,417","38,168","164,620"
23,"20,765","72,425","40,174","52,547","53,578","2,178","8,320","102,136","41,903","189,618"
24,"22,148","74,186","44,550","57,298","59,138","2,617","8,413","110,238","47,806","216,721"
25,"23,318","74,578","52,128","61,913","63,927","2,935","8,565","117,710","51,608","245,540"
26,"24,383","75,467","56,989","67,366","69,176","3,271","8,652","124,736","55,242","277,965"
27,"25,680","76,291","59,105","73,522","74,386","3,654","8,799","130,759","60,733","312,237"
28,"27,063","76,935","64,338","79,696","80,539","3,817","8,897","135,032","65,077","337,635"
29,"28,379","77,147","68,605","85,778","86,498","3,906","8,961","140,510","70,272","368,449"
30,"30,106","77,659","70,478","91,714","92,472","4,257","9,037","146,690","78,991","399,929"
31,"31,927","78,064","74,390","95,391","97,689","4,667","9,137","152,446","84,279","432,438"
32,"33,354","78,497","78,167","99,225","101,739","5,347","9,241","157,022","88,621","466,299"
33,"34,786","78,824","82,048","103,228","105,792","6,748","9,332","161,852","93,873","501,615"
34,"36,831","79,251","86,334","108,202","110,574","7,255","9,478","166,019","98,476","530,006"
35,"38,422","79,826","90,676","113,525","115,242","7,645","9,583","169,496","103,093","557,590"
36,"40,190","80,026","93,790","117,658","119,827","8,100","9,661","172,541","108,692","582,594"
37,"42,110","80,151","95,403","120,479","124,632","8,582","9,786","177,633","114,217","609,685"
38,"43,888","80,270","98,076","123,016","128,948","9,167","9,786","182,816","120,067","639,664"
39,"45,354","80,410","103,573","125,098","132,547","9,795","9,976","188,068","124,743","671,425"
40,"46,895","80,555","106,206","127,584","135,586","10,361","10,062","191,726","129,044","706,779"
41,"48,500","80,651","108,847","130,450","139,422","10,751","10,156","195,944","133,495","735,287"
42,,"80,695","109,252","133,830","143,626","11,118","10,237","200,210","138,078","759,786"
43,,"80,735","111,821","137,439","147,577","11,496","10,284","204,178","143,464","787,960"
44,,"80,756","112,606","139,897","152,271","11,772","10,331","208,389","148,377","825,306"
45,,"80,780","114,657","141,672","156,363","12,240","10,384","213,024","152,840","842,629"
46,,"80,793","117,324","143,457","159,516","12,892","10,423","219,764","157,149","869,172"
47,,"80,801","119,151","145,694","162,488","13,182","10,450","219,764",,"905,333"
48,,"80,826","120,804","148,046","165,155","13,385","10,450","219,764",,"939,249"
49,,"80,844","122,577","150,383","168,941","13,576","10,512","226,629",,"965,933"
50,,"80,866","124,114","152,438","172,434",,"10,537","229,422",,"988,469"
51,,"80,882","124,575","154,175","175,925",,"10,564",,,
52,,"80,905","128,339","155,193","178,972",,"10,591",,,
53,,"80,929",,"156,337","181,228",,"10,613",,,
54,,"80,974",,,"183,957",,"10,635",,,
55,,"81,013",,,"187,327",,"10,653",,,
56,,"81,057",,,"189,973",,"10,661",,,
57,,"81,114",,,"192,994",,"10,674",,,
58,,"81,177",,,"195,351",,"10,683",,,
59,,"81,285",,,"197,675",,"10,694",,,