Category,Taux pour 100 000
Nord-du-Québec,59.00575306
Gaspésie – Îles-de-la-Madeleine,188.8930865
Chaudière-Appalaches,95.51275944
Laval,835.9213543
Lanaudière,501.0651962
Laurentides,252.9634686
Montérégie,291.6766416
Nunavik,140.2524544
Terres-Cries-de-la-Baie-James,54.39216753
Bas-Saint-Laurent,18.26724987
Saguenay – Lac-Saint-Jean,107.6965191
Capitale-Nationale,130.5166793
Mauricie et Centre-du-Québec,270.321495
Estrie,177.8316703
Montréal,844.3802626
Outaouais,79.29541782
Abitibi-Témiscamingue,101.6150011
Côte-Nord,125.5095354